civil_date,total_row_count,rows_from_offset_0,rows_from_offset_minus_1,rows_from_offset_minus_7,rows_from_offset_minus_30,rows_from_offset_minus_365,rows_from_offset_minus_3650,rows_from_offset_plus_1,t0_file_status,expected_contributing_files_count,available_contributing_files_count,coverage_quality_flag,coverage_completeness,represented_only,documented_exception_label
2013-07-18,142455,138450,979,1319,463,1085,0,159,present,6,6,full,1.0,False,
2013-07-19,132182,129403,516,949,544,603,0,167,present,6,6,full,1.0,False,
2013-07-20,83869,80989,507,587,892,732,0,162,present,6,6,full,1.0,False,
2013-07-21,80802,77044,970,603,1019,1082,0,84,present,6,6,full,1.0,False,
2013-07-22,133427,128847,814,1388,1081,1198,0,99,present,6,6,full,1.0,False,
2013-07-23,111881,107050,1060,1368,951,1265,0,187,present,6,6,full,1.0,False,
2013-07-24,131394,126983,1075,1258,620,1277,0,181,present,6,6,full,1.0,False,
2013-07-25,140401,136515,913,1102,320,1307,0,244,present,6,6,full,1.0,False,
2013-07-26,130822,127903,604,870,594,680,0,171,present,6,6,full,1.0,False,
2013-07-27,82272,79526,522,687,704,693,0,140,present,6,6,full,1.0,False,
2013-07-28,83414,79538,836,963,861,1144,0,72,present,6,6,full,1.0,False,
2013-07-29,130205,125309,1091,1559,837,1255,0,154,present,6,6,full,1.0,False,
2013-07-30,140241,135425,1003,1787,777,1090,0,159,present,6,6,full,1.0,False,
2013-07-31,140504,135985,869,1492,715,1289,0,154,present,6,6,full,1.0,False,
2013-08-01,138395,134457,848,1295,303,1259,0,233,present,6,6,full,1.0,False,
2013-08-02,122362,119443,645,1201,234,702,0,137,present,6,6,full,1.0,False,
2013-08-03,90314,87015,738,953,806,693,0,109,present,6,6,full,1.0,False,
2013-08-04,93082,88726,1046,1076,1043,1086,0,105,present,6,6,full,1.0,False,
2013-08-05,136375,130948,1020,1794,1347,1138,0,128,present,6,6,full,1.0,False,
2013-08-06,156264,150647,1080,1785,1187,1345,0,220,present,6,6,full,1.0,False,
2013-08-07,155478,150102,1040,1397,1068,1697,0,174,present,6,6,full,1.0,False,
2013-08-08,144664,141218,787,290,649,1489,0,231,present,6,6,full,1.0,False,
2013-08-09,123249,119829,611,1227,620,777,0,185,present,6,6,full,1.0,False,
2013-08-10,93933,90759,522,780,1120,618,0,134,present,6,6,full,1.0,False,
2013-08-11,89676,85089,949,1148,1276,1092,0,122,present,6,6,full,1.0,False,
2013-08-12,135171,129552,1139,1827,990,1543,0,120,present,6,6,full,1.0,False,
2013-08-13,142835,137604,1095,1506,1177,1184,0,269,present,6,6,full,1.0,False,
2013-08-14,145367,141477,265,1291,958,1153,0,223,present,6,6,full,1.0,False,
2013-08-15,37795,33370,1144,1179,637,1277,0,188,present,6,6,full,1.0,False,
2013-08-16,129881,126990,690,901,465,807,0,28,present,6,6,full,1.0,False,
2013-08-17,79576,76853,469,485,926,701,0,142,present,6,6,full,1.0,False,
2013-08-18,88056,83255,980,1338,1181,1205,0,97,present,6,6,full,1.0,False,
2013-08-19,141424,135826,1110,1951,1044,1365,0,128,present,6,6,full,1.0,False,
2013-08-20,142194,136624,1096,2452,379,1445,0,198,present,6,6,full,1.0,False,
2013-08-21,149027,143456,1152,2044,885,1282,0,208,present,6,6,full,1.0,False,
2013-08-22,142761,137849,1021,1848,546,1191,0,306,present,6,6,full,1.0,False,
2013-08-23,132215,128219,738,1668,524,646,0,420,present,6,6,full,1.0,False,
2013-08-24,86928,83506,739,882,850,806,0,145,present,6,6,full,1.0,False,
2013-08-25,103333,99718,979,673,742,1054,0,167,present,6,6,full,1.0,False,
2013-08-26,144166,139037,1420,1400,788,1289,0,232,present,6,6,full,1.0,False,
2013-08-27,163817,158586,1186,1709,757,1313,0,266,present,6,6,full,1.0,False,
2013-08-28,163395,157872,1205,2018,612,1302,0,386,present,6,6,full,1.0,False,
2013-08-29,167366,162152,1343,2115,295,1171,0,290,present,6,6,full,1.0,False,
2013-08-30,159543,156034,816,1529,248,744,0,172,present,6,6,full,1.0,False,
2013-08-31,95750,92993,363,1080,456,656,0,202,present,6,6,full,1.0,False,
2013-09-01,63119,59152,1054,1176,684,927,0,126,present,6,6,full,1.0,False,
2013-09-02,130789,124902,1156,2308,937,1400,0,86,present,6,6,full,1.0,False,
2013-09-03,154468,148607,1506,2206,253,1657,0,239,present,6,6,full,1.0,False,
2013-09-04,183800,178728,1275,1570,351,1477,0,399,present,6,6,full,1.0,False,
2013-09-05,173601,168763,1233,1236,672,1349,0,348,present,6,6,full,1.0,False,
2013-09-06,161906,157924,793,1294,798,812,0,285,present,6,6,full,1.0,False,
2013-09-07,104159,100147,827,808,1283,776,0,318,present,6,6,full,1.0,False,
2013-09-08,104338,99601,1052,1094,1089,1226,0,276,present,6,6,full,1.0,False,
2013-09-09,168785,161979,1582,2156,1458,1384,0,226,present,6,6,full,1.0,False,
2013-09-10,179950,173196,1480,1996,1493,1433,0,352,present,6,6,full,1.0,False,
2013-09-11,177565,172011,1207,1710,965,1395,0,277,present,6,6,full,1.0,False,
2013-09-12,161458,156580,1285,482,571,2075,0,465,present,6,6,full,1.0,False,
2013-09-13,163811,158755,770,2324,591,971,0,400,present,6,6,full,1.0,False,
2013-09-14,102773,98653,408,1195,1011,1181,0,325,present,6,6,full,1.0,False,
2013-09-15,87962,82855,994,1294,976,1694,0,149,present,6,6,full,1.0,False,
2013-09-16,161775,155389,1331,2132,1128,1623,0,172,present,6,6,full,1.0,False,
2013-09-17,172312,166673,1266,1675,1057,1426,0,215,present,6,6,full,1.0,False,
2013-09-18,166503,161503,487,1558,1156,1520,0,279,present,6,6,full,1.0,False,
2013-09-19,61116,55350,1382,1850,761,1544,0,229,present,6,6,full,1.0,False,
2013-09-20,151694,148598,684,852,620,874,0,66,present,6,6,full,1.0,False,
2013-09-21,96324,93440,731,687,452,800,0,214,present,6,6,full,1.0,False,
2013-09-22,109001,104252,1252,693,1272,1399,0,133,present,6,6,full,1.0,False,
2013-09-23,173824,167999,1265,1639,1151,1525,0,245,present,6,6,full,1.0,False,
2013-09-24,179383,172982,1483,1783,1021,1723,0,391,present,6,6,full,1.0,False,
2013-09-25,180020,173489,1473,2199,947,1553,0,359,present,6,6,full,1.0,False,
2013-09-26,178113,174294,912,740,637,1226,0,304,present,6,6,full,1.0,False,
2013-09-27,116387,113408,781,552,628,721,0,297,present,6,6,full,1.0,False,
2013-09-28,98250,95129,449,992,871,666,0,143,present,6,6,full,1.0,False,
2013-09-29,69160,64576,754,1137,1124,1335,0,234,present,6,6,full,1.0,False,
2013-09-30,136743,131486,1151,1735,796,1450,0,125,present,6,6,full,1.0,False,
2013-10-01,160651,155354,1295,1501,928,1271,0,302,present,6,6,full,1.0,False,
